0.283822,0.358658,0.35752
0.323211,0.376883,0.299907
0.342061,0.38118,0.276759
0.327776,0.372403,0.299822
0.319936,0.386695,0.29337
0.294253,0.365082,0.340665
0.323516,0.376732,0.299753
0.313413,0.385379,0.301208
0.314144,0.374884,0.310972
0.300332,0.362712,0.336956
0.297793,0.361987,0.340219
0.302266,0.381586,0.316148
0.31353,0.378764,0.307705
0.329132,0.378906,0.291962
0.318194,0.385884,0.295922
0.290554,0.362377,0.347069
0.321671,0.373863,0.304466
0.313923,0.383379,0.302698
0.297213,0.378908,0.323879
0.296412,0.36815,0.335438
0.285328,0.356345,0.358327
0.288675,0.358633,0.352692
0.299665,0.380629,0.319706
0.289034,0.380272,0.330694
0.260948,0.354918,0.384135
0.301647,0.372325,0.326028
0.299208,0.381252,0.319541
0.274867,0.360581,0.364552
0.313223,0.37671,0.310066
0.33441,0.381846,0.283744
0.346484,0.381086,0.27243
0.331963,0.389019,0.279018
0.303413,0.365001,0.331586
0.328375,0.373454,0.298171
0.315868,0.365728,0.318403
0.311958,0.366205,0.321837
0.345554,0.383802,0.270645
0.354863,0.384546,0.260591
0.358299,0.380274,0.261428
0.338295,0.388686,0.273018
0.32983,0.371389,0.298782
0.339397,0.368707,0.291897
0.328866,0.378328,0.292807
0.309955,0.375754,0.314291
0.280651,0.352642,0.366707
0.277676,0.35,0.372324
0.292635,0.372659,0.334706
0.310283,0.375585,0.314132
0.328823,0.378228,0.292949
0.315763,0.368904,0.315333
0.343631,0.38017,0.276199
0.353814,0.380073,0.266112
0.336629,0.389005,0.274366
0.329363,0.372951,0.297686
0.339419,0.370294,0.290287
0.328906,0.379644,0.29145
0.32549,0.368017,0.306493
0.318391,0.376539,0.30507
0.291662,0.356187,0.352151
0.297549,0.37086,0.331591
0.286792,0.3713,0.341908
0.273976,0.366271,0.359753
0.246334,0.343407,0.410259
0.29542,0.367891,0.336689
0.290649,0.36341,0.345941
0.296176,0.367919,0.335905
0.339149,0.389638,0.271213
